,Name,Position,Team,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
51,John Collins,PF,Atlanta Hawks,23500000.0,23000000.0,4137302.0,2686560.0,2299080.0,2299080.0,,,,,,,,,,,,
52,Buddy Hield,SG,Indiana Pacers,22768890.0,22768890.0,24701834.0,4861208.0,3844760.0,3675480.0,3517200.0,,,,,,,,,,,
53,Mike Conley,PG,Utah Jazz,22680000.0,21000000.0,34502130.0,32511624.0,30521115.0,28530608.0,26540100.0,9588426.0,8694216.0,8600001.0,7505786.0,6611571.0,4913077.0,3883800.0,3630480.0,3377160.0,,
54,Malcolm Brogdon,PG,Boston Celtics,22600000.0,21700000.0,20700000.0,20000000.0,1544951.0,1544951.0,925000.0,,,,,,,,,,,
55,Anfernee Simons,SG,Portland Trail Blazers,22321429.0,3938818.0,2252040.0,2149560.0,1760520.0,,,,,,,,,,,,,
56,Nikola Vucevic,C,Chicago Bulls,22000000.0,24000000.0,26000000.0,28000000.0,12750000.0,12750000.0,11750000.0,11250000.0,2751260.0,1793520.0,1793520.0,1719480.0,,,,,,
57,Terry Rozier,SG,Charlotte Hornets,21486283.0,17905263.0,18900000.0,19894737.0,3050390.0,1988520.0,1906440.0,1824360.0,,,,,,,,,,
58,Fred VanVleet,SG,Toronto Raptors,21250000.0,19675926.0,21250000.0,9346153.0,8653847.0,,543471.0,,,,,,,,,,,
59,Jerami Grant,SF,Portland Trail Blazers,20955000.0,20002500.0,19050000.0,9346153.0,8653847.0,1524305.0,980431.0,845059.0,884879.0,,,,,,,,,
60,Spencer Dinwiddie,PG,Dallas Mavericks,20171427.0,17142857.0,11454048.0,10605600.0,1656092.0,1656092.0,726672.0,845059.0,700000.0,,,,,,,,,
61,Mikal Bridges,SF,Phoenix Suns,20100000.0,5557725.0,4161000.0,4161000.0,3552960.0,,,,,,,,,,,,,
62,Jarrett Allen,C,Cleveland Cavaliers,20000000.0,20000000.0,3909902.0,2376840.0,2034120.0,2034120.0,,,,,,,,,,,,
63,Aaron Gordon,PF,Denver Nuggets,19690909.0,16409091.0,18136364.0,19863636.0,21590909.0,,4351320.0,4171680.0,3992040.0,,,,,,,,,
64,Tim Hardaway Jr.,SF,Dallas Mavericks,19602273.0,21308816.0,18975000.0,20025127.0,19200127.0,17325000.0,2281605.0,1304520.0,1250640.0,1196760.0,,,,,,,,
65,Eric Gordon,SG,Houston Rockets,19568360.0,18218818.0,16869276.0,14057730.0,13500375.0,12943020.0,12385364.0,15514031.0,14898938.0,14283844.0,13668750.0,3831184.0,3016680.0,2819880.0,2623200.0,,,
